位階排名,牌型,牌面,花色變體數,位置起(1-based),位置訖,千萬位percentile,位階名次%
325,一對,77+Q98,384,124417,124800,1298038.6,6.1263
326,一對,77+Q102,384,124801,125184,1302044.86,6.1451
327,一對,77+Q103,384,125185,125568,1306051.12,6.164
328,一對,77+Q104,384,125569,125952,1310057.38,6.1828
329,一對,77+Q105,384,125953,126336,1314063.64,6.2017
330,一對,77+Q106,384,126337,126720,1318069.9,6.2205
331,一對,77+Q108,384,126721,127104,1322076.16,6.2394
332,一對,77+Q109,384,127105,127488,1326082.42,6.2582
333,一對,77+QJ2,384,127489,127872,1330088.68,6.2771
334,一對,77+QJ3,384,127873,128256,1334094.94,6.2959
335,一對,77+QJ4,384,128257,128640,1338101.2,6.3148
336,一對,77+QJ5,384,128641,129024,1342107.46,6.3336
337,一對,77+QJ6,384,129025,129408,1346113.72,6.3525
338,一對,77+QJ8,384,129409,129792,1350119.98,6.3713
339,一對,77+QJ9,384,129793,130176,1354126.24,6.3902
340,一對,77+QJ10,384,130177,130560,1358132.5,6.409
341,一對,77+K32,384,130561,130944,1362138.76,6.4279
342,一對,77+K42,384,130945,131328,1366145.02,6.4467
343,一對,77+K43,384,131329,131712,1370151.28,6.4656
344,一對,77+K52,384,131713,132096,1374157.54,6.4844
345,一對,77+K53,384,132097,132480,1378163.8,6.5033
346,一對,77+K54,384,132481,132864,1382170.06,6.5221
347,一對,77+K62,384,132865,133248,1386176.32,6.541
348,一對,77+K63,384,133249,133632,1390182.58,6.5598
349,一對,77+K64,384,133633,134016,1394188.84,6.5787
350,一對,77+K65,384,134017,134400,1398195.1,6.5975
351,一對,77+K82,384,134401,134784,1402201.36,6.6164
352,一對,77+K83,384,134785,135168,1406207.62,6.6352
353,一對,77+K84,384,135169,135552,1410213.88,6.6541
354,一對,77+K85,384,135553,135936,1414220.14,6.673
355,一對,77+K86,384,135937,136320,1418226.4,6.6918
356,一對,77+K92,384,136321,136704,1422232.66,6.7107
357,一對,77+K93,384,136705,137088,1426238.91,6.7295
358,一對,77+K94,384,137089,137472,1430245.17,6.7484
359,一對,77+K95,384,137473,137856,1434251.43,6.7672
360,一對,77+K96,384,137857,138240,1438257.69,6.7861
361,一對,77+K98,384,138241,138624,1442263.95,6.8049
362,一對,77+K102,384,138625,139008,1446270.21,6.8238
363,一對,77+K103,384,139009,139392,1450276.47,6.8426
364,一對,77+K104,384,139393,139776,1454282.73,6.8615
365,一對,77+K105,384,139777,140160,1458288.99,6.8803
366,一對,77+K106,384,140161,140544,1462295.25,6.8992
367,一對,77+K108,384,140545,140928,1466301.51,6.918
368,一對,77+K109,384,140929,141312,1470307.77,6.9369
369,一對,77+KJ2,384,141313,141696,1474314.03,6.9557
370,一對,77+KJ3,384,141697,142080,1478320.29,6.9746
371,一對,77+KJ4,384,142081,142464,1482326.55,6.9934
372,一對,77+KJ5,384,142465,142848,1486332.81,7.0123
373,一對,77+KJ6,384,142849,143232,1490339.07,7.0311
374,一對,77+KJ8,384,143233,143616,1494345.33,7.05
375,一對,77+KJ9,384,143617,144000,1498351.59,7.0688
376,一對,77+KJ10,384,144001,144384,1502357.85,7.0877
377,一對,77+KQ2,384,144385,144768,1506364.11,7.1065
378,一對,77+KQ3,384,144769,145152,1510370.37,7.1254
379,一對,77+KQ4,384,145153,145536,1514376.63,7.1442
380,一對,77+KQ5,384,145537,145920,1518382.89,7.1631
381,一對,77+KQ6,384,145921,146304,1522389.15,7.1819
382,一對,77+KQ8,384,146305,146688,1526395.41,7.2008
383,一對,77+KQ9,384,146689,147072,1530401.67,7.2196
384,一對,77+KQ10,384,147073,147456,1534407.93,7.2385
385,一對,77+KQJ,384,147457,147840,1538414.19,7.2573
386,一對,77+A32,384,147841,148224,1542420.45,7.2762
387,一對,77+A42,384,148225,148608,1546426.71,7.295
388,一對,77+A43,384,148609,148992,1550432.97,7.3139
389,一對,77+A52,384,148993,149376,1554439.23,7.3327
390,一對,77+A53,384,149377,149760,1558445.49,7.3516
391,一對,77+A54,384,149761,150144,1562451.75,7.3704
392,一對,77+A62,384,150145,150528,1566458.01,7.3893
393,一對,77+A63,384,150529,150912,1570464.27,7.4081
394,一對,77+A64,384,150913,151296,1574470.53,7.427
395,一對,77+A65,384,151297,151680,1578476.79,7.4458
396,一對,77+A82,384,151681,152064,1582483.05,7.4647
397,一對,77+A83,384,152065,152448,1586489.31,7.4835
398,一對,77+A84,384,152449,152832,1590495.57,7.5024
399,一對,77+A85,384,152833,153216,1594501.83,7.5212
400,一對,77+A86,384,153217,153600,1598508.09,7.5401
401,一對,77+A92,384,153601,153984,1602514.35,7.5589
402,一對,77+A93,384,153985,154368,1606520.61,7.5778
403,一對,77+A94,384,154369,154752,1610526.86,7.5966
404,一對,77+A95,384,154753,155136,1614533.12,7.6155
405,一對,77+A96,384,155137,155520,1618539.38,7.6343
406,一對,77+A98,384,155521,155904,1622545.64,7.6532
407,一對,77+A102,384,155905,156288,1626551.9,7.672
408,一對,77+A103,384,156289,156672,1630558.16,7.6909
409,一對,77+A104,384,156673,157056,1634564.42,7.7097
410,一對,77+A105,384,157057,157440,1638570.68,7.7286
411,一對,77+A106,384,157441,157824,1642576.94,7.7474
412,一對,77+A108,384,157825,158208,1646583.2,7.7663
413,一對,77+A109,384,158209,158592,1650589.46,7.7851
414,一對,77+AJ2,384,158593,158976,1654595.72,7.804
415,一對,77+AJ3,384,158977,159360,1658601.98,7.8228
416,一對,77+AJ4,384,159361,159744,1662608.24,7.8417
417,一對,77+AJ5,384,159745,160128,1666614.5,7.8605
418,一對,77+AJ6,384,160129,160512,1670620.76,7.8794
419,一對,77+AJ8,384,160513,160896,1674627.02,7.8982
420,一對,77+AJ9,384,160897,161280,1678633.28,7.9171
421,一對,77+AJ10,384,161281,161664,1682639.54,7.9359
422,一對,77+AQ2,384,161665,162048,1686645.8,7.9548
423,一對,77+AQ3,384,162049,162432,1690652.06,7.9736
424,一對,77+AQ4,384,162433,162816,1694658.32,7.9925
425,一對,77+AQ5,384,162817,163200,1698664.58,8.0113
426,一對,77+AQ6,384,163201,163584,1702670.84,8.0302
427,一對,77+AQ8,384,163585,163968,1706677.1,8.049
428,一對,77+AQ9,384,163969,164352,1710683.36,8.0679
429,一對,77+AQ10,384,164353,164736,1714689.62,8.0867
430,一對,77+AQJ,384,164737,165120,1718695.88,8.1056
431,一對,77+AK2,384,165121,165504,1722702.14,8.1244
432,一對,77+AK3,384,165505,165888,1726708.4,8.1433
433,一對,77+AK4,384,165889,166272,1730714.66,8.1621
434,一對,77+AK5,384,166273,166656,1734720.92,8.181
435,一對,77+AK6,384,166657,167040,1738727.18,8.1998
436,一對,77+AK8,384,167041,167424,1742733.44,8.2187
437,一對,77+AK9,384,167425,167808,1746739.7,8.2375
438,一對,77+AK10,384,167809,168192,1750745.96,8.2564
439,一對,77+AKJ,384,168193,168576,1754752.22,8.2752
440,一對,77+AKQ,384,168577,168960,1758758.48,8.2941
441,一對,88+432,384,168961,169344,1762764.74,8.3129
442,一對,88+532,384,169345,169728,1766771.0,8.3318
443,一對,88+542,384,169729,170112,1770777.26,8.3506
